Timestamp,ImagePath,ShadowR,ShadowG,ShadowB,Specular,RimLightWidth,WidthScale
20260418_163137,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\0fe4c88ab1619449935bcc5709608b63.jpeg"",0.720228,0.718598,0.721857,0.738151,1.000000,1.648811
20260418_163441,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\09bebe5726d05a84764dce620b8c9594_720.jpg"",0.782145,0.782145,0.785403,1.000000,0.589876,1.738427
20260418_163618,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\9ac8e39252d462662fb25b6abbf4d553_720.jpg"",0.334061,0.425307,0.655052,1.000000,1.000000,1.107036
20260418_163719,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\e9b1d067a4e20f122b567bb5e351abd0_720.jpg"",0.558917,0.425307,0.655052,0.506777,0.172750,2.695698
20260418_163822,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\d4fac61098a607c828e0c08b1c8342c7.jpg"",0.294955,0.260738,0.281920,0.000000,0.428565,1.033713
20260418_163933,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\10331613a66ef9681f76f3b6aab0c6ec_720.jpg"",0.834285,0.519812,0.532847,0.977672,0.203709,1.616223
20260418_164037,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\c36b7f3334cf94e3b92b6da936d14864.jpeg"",0.725116,0.726745,0.813103,0.822880,0.151568,2.312789
20260418_164125,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\685986e8415007a4e617ee4f347c84b4.jpg"",0.558917,0.545882,0.542623,0.878279,0.270514,1.856558
20260418_164224,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\5702240f9a5df2a2284c37077c5664b3.jpeg"",0.754445,0.749557,0.747927,1.000000,0.272143,0.927802
20260419_161321,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\642b5b349a5182a0f02bb1d41d0a2ca3.png"",1.000000,1.000000,1.000000,0.838085,0.099095,2.237899
20260419_161419,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\d56ef3ffa32484f546208465a67bbf10_720.png"",0.917669,0.911172,0.920917,0.016264,0.021136,1.543574
20260419_161515,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\a929fe33ef0582f07ff14afdad10a25d_720.png"",0.449913,0.454785,0.605831,0.929038,0.310235,1.494849
20260419_161812,""D:\unreal\MooaToon-Engine-5.5_MooaToonProject\MooaToon-Engine-5.5_MooaToonProject\Content\images\3ac3efb8f4f29a4c6afe1854c2e1bad9_720.jpg"",0.467778,0.412557,0.287497,0.929038,0.833213,1.161898
